"NoW January 2, 2019",0
GAMES,0
Star Control: Origins pulled from sale following DMCA takedown notice ,http://www.gamasutra.com/view/news/333662/Star_Control_Origins_pulled_from_sale_following_DMCA_takedown_notice.php
"Star Control creators block Origins release: Stardock denied injunction against Ford and Reiche's DMCA notice, title removed from GOG and Steam",https://www.gamesindustry.biz/articles/2019-01-02-star-control-creators-block-origins-release
Original Star Control creators deploy nuclear option against Stardock [Updated],https://arstechnica.com/information-technology/2019/01/original-star-control-creators-deploy-nuclear-option-against-stardock/
"China issues 80 new game licenses, Tencent not included ",http://www.gamasutra.com/view/news/333677/China_issues_80_new_game_licenses_Tencent_not_included.php
China lifts a freeze on new video games but excludes its biggest player: It allows 80 new titles to be released but none from Tencent,https://www.theverge.com/2018/12/29/18160136/china-lifts-video-game-ban-not-tencent-fortnite-pubg-league
"Tencent and Netease absent in first wave of China game approvals: 80 titles given the green light in December, but none from nation's market leaders",https://www.gamesindustry.biz/articles/2019-01-02-tencent-and-netease-absent-in-first-wave-of-china-game-approvals
Creators Of Dance Moves Suing Creators Of Fortnite Over Copyright Infringement That Can't Possibly Have Happened,https://www.techdirt.com/articles/20181227/14361041301/creators-dance-moves-suing-creators-fortnite-over-copyright-infringement-that-cant-possibly-have-happened.shtml
Moments of 2018: When Fortnite stopped everything for a butterfly,https://www.eurogamer.net/articles/2018-12-28-moments-of-2018-when-fortnite-stopped-everything-for-a-butterfly
"Fortnite Dance, Potato Roll Recipe Clip Are BuzzFeed’s Most Viral Videos Of 2018",https://tubefilter.us1.list-manage.com/track/click?u=f2851f4d2ca0bc9451d398851&id=457773fd2b&e=45729ae7ce
BioWare co-founders inducted into the Order of Canada ,http://www.gamasutra.com/view/news/333605/BioWare_cofounders_inducted_into_the_Order_of_Canada.php
Rebellion's Chris Kingsley receives OBE,https://www.gamesindustry.biz/articles/2019-01-02-rebellions-chris-kingsley-receives-obe
Rebellion co-founder Chris Kingsley to receive OBE ,http://www.gamasutra.com/view/news/333663/Rebellion_cofounder_Chris_Kingsley_to_receive_OBE.php
Game Workers Unite working with devs from a dozen studios towards unionization ,http://www.gamasutra.com/view/news/333569/Game_Workers_Unite_working_with_devs_from_a_dozen_studios_towards_unionization.php
Steel Division dev Eugen Systems fires six employees involved in pay dispute ,http://www.gamasutra.com/view/news/333562/Steel_Division_dev_Eugen_Systems_fires_six_employees_involved_in_pay_dispute.php
"CIS region game devs hit with 7.4% decline in median salary last year: Women lost 10% of their salary as gender pay gap increased to $6,000",https://www.gamesindustry.biz/articles/2019-01-02-cis-region-median-game-devs-hit-with-7-4-percent-salary-decline-in-2018
Blizzard hopes linked Battle.net accounts will solve toxic Twitch chats ,http://www.gamasutra.com/view/news/333608/Blizzard_hopes_linked_Battlenet_accounts_will_solve_toxic_Twitch_chats.php
Fired Activision Blizzard CFO picked up by Netflix as chief financial officer ,http://www.gamasutra.com/view/news/333670/Fired_Activision_Blizzard_CFO_picked_up_by_Netflix_as_chief_financial_officer.php
Activision Blizzard terminates CFO Spencer Neumann: Previous CFO Denis Durkin returns to position effective immediately,https://www.gamesindustry.biz/articles/2019-01-02-activision-blizzard-terminates-cfo-spencer-neumann
Killing in the name of: The US Army and video games,https://arstechnica.com/gaming/2019/01/army-video-games/
Video: Astronaut Scott Kelly teaches orbital mechanics with Kerbal Space Program,https://arstechnica.com/science/2018/12/video-astronaut-scott-kelly-teaches-orbital-mechanics-with-kerbal-space-program/
Caltech scientists use DNA tiles to play tic-tac-toe at the nanoscale,https://arstechnica.com/science/2018/12/caltech-scientists-use-dna-tiles-to-play-tic-tac-toe-at-the-nanoscale/
"A bewildered, far-from-conclusive look at the state of public gaming in Tokyo",https://arstechnica.com/gaming/2019/01/a-bewildered-far-from-conclusive-look-at-the-state-of-public-gaming-in-tokyo/
Twitch Star DrLupo Raised $1.3 Million For St. Jude Children’s Hospital This Year,https://www.tubefilter.com/2018/12/27/drlupo-st-jude-childrens-hospital/
"PlayStation Classic Gets Huge Price Cut, Which Says A Lot",https://kotaku.com/playstation-classic-gets-huge-price-cut-which-says-a-l-1831338278
Sony: Home of the Whopper - 10 Years Ago This Month -  Kaz Hirai discovers heretofore unexplored levels of spin in promoting the PS3 as the global economic meltdown ripples through the industry,https://www.gamesindustry.biz/articles/2019-01-02-sony-home-of-the-whopper
Gumi Inc. acquires stake in blockchain game developer Double Jump.Tokyo: Investment follows launch of publisher's $30 million blockchain fund in May last year,https://www.gamesindustry.biz/articles/2019-01-02-gumi-inc-acquires-stake-in-blockchain-game-developer-double-jump-tokyo
Rami Ismail launches game-a-day collection Meditations: Free downloadable launcher will offer a different five-minute experience every day,https://www.gamesindustry.biz/articles/2019-01-02-rami-ismail-launches-game-a-day-collection-meditations
A game studio with zero hardware experience is building a VR-ready console,https://arstechnica.com/gaming/2019/01/project-cars-studio-announces-its-next-project-a-next-gen-wireless-vr-console/
Project Cars dev Slightly Mad Studios is working on a VR-friendly game console ,http://www.gamasutra.com/view/news/333673/Project_Cars_dev_Slightly_Mad_Studios_is_working_on_a_VRfriendly_game_console.php
Valve Reveals Top Selling VR Games on Steam in 2018,https://www.roadtovr.com/valve-reveals-top-selling-vr-games-on-steam-2018/
Valve shares data on Steam's most popular game/controller pairings ,http://www.gamasutra.com/view/news/333681/Valve_shares_data_on_Steams_most_popular_gamecontroller_pairings.php
"Steam rounds up 2018's best sellers, top new releases, and more ",http://www.gamasutra.com/view/news/333578/Steam_rounds_up_2018s_best_sellers_top_new_releases_and_more.php
Ninja To Stream ‘Fortnite’ For 12 Hours On New Year’s Eve In Times Square,https://www.tubefilter.com/2018/12/27/what-time-ninja-new-years-eve-stream-twitch-fortnite/
Twitch Viewers Watched 226.85 Million Hours’ Worth Of Ninja’s Content This Year,https://www.tubefilter.com/2018/12/31/ninja-how-many-hours-streamed-watched-twitch-fortnite/
"Pro-PewDiePie Printer Hacker Returns, Making 5,500+ Smart TVs, Google Devices Urge Users To Subscribe",https://www.tubefilter.com/2019/01/02/pewdiepie-hack-smart-tvs-t-series/
"UK boxed software sales slip in 2018, but hardware is up: PS4 dominates the market, as Switch rises sharply",https://www.gamesindustry.biz/articles/2019-01-02-uk-physical-games-market-falls-2-8-percent-in-2018
Best of 2018: How Baldi's Basics taps into the real horror of '90s edutainment ,https://www.gamasutra.com/view/news/324042/How_Baldis_Basics_taps_into_the_real_horror_of_90s_edutainment.php
"Best of 2018: The Heartbeat Symposium - Exploring love, sex, and intimacy in games ",https://www.gamasutra.com/view/news/316820/The_Heartbeat_Symposium_Exploring_love_sex_and_intimacy_in_games.php
Eurogamer's game of the year 2018 is Tetris Effect,https://www.eurogamer.net/articles/2018-12-31-eurogamers-game-of-the-year-2018-is-tetris-effect
Gamasutra's Best of 2018: The top 10 game developers of the year ,http://www.gamasutra.com/view/news/333540/Gamasutras_Best_of_2018_The_top_10_game_developers_of_the_year.php
Gamasutra's Best of 2018: The top 10 games of the year ,http://www.gamasutra.com/view/news/333573/Gamasutras_Best_of_2018_The_top_10_games_of_the_year.php
"Best of 2018: Gamasutra's top games, devs, events and trends ",http://www.gamasutra.com/view/news/333604/Best_of_2018_Gamasutras_top_games_devs_events_and_trends.php
"What is the industry looking forward to in 2019?: Most anticipated games, sporting victories, disruption, innovation and more on leaders' wishlists",https://www.gamesindustry.biz/articles/2019-01-02-what-is-the-industry-looking-forward-to-in-2019
"What lies ahead? Analysts make 2019 predictions: Industry watchers assess the likelihood of new console hardware, the growth potential of streaming, AR or esports breakthroughs, and more",https://www.gamesindustry.biz/articles/2019-01-02-what-is-the-industry-looking-forward-to-in-2019
DIGITAL,0
Ninth Lawsuit Against Social Media Providers for “Materially Supporting Terrorists” Fails–Clayborn v. Twitter (Eric Goldman),https://blog.ericgoldman.org/archives/2019/01/ninth-lawsuit-against-social-media-providers-for-materially-supporting-terrorists-fails-clayborn-v-twitter.htm
"Jake Paul, RiceGum Called Out For Promoting Mystery Box ‘Gambling’ Site To Kids",https://www.tubefilter.com/2019/01/02/jake-paul-ricegum-youtube-mystery-boxes-mysterybrands-keemstar/
Antipiracy Outfits Routinely Claim Copyright Infringement Against Sites That Simply Report When Torrents Are Released,https://www.techdirt.com/articles/20190102/10315741319/antipiracy-outfits-routinely-claim-copyright-infringement-against-sites-that-simply-report-when-torrents-are-released.shtml
Jack Black’s YouTube Channel Nabs 2.5 Million Subscribers In Less Than Two Weeks,https://www.tubefilter.com/2019/01/02/jack-black-youtube-jablinski-games-followers/
"Jack Black Launches YouTube Channel, Nabbing 600,000 Subscribers In 5 Days",https://www.tubefilter.com/2018/12/27/jack-black-jablinski-games-youtube/
"Pentatonix, Mariah Carey, ‘Frozen’ Top YouTube’s Top 10 Christmas Songs Of 2018",https://www.tubefilter.com/2018/12/24/youtube-top-christmas-songs-2018-mariah-carey-pentatonix/
"Famebit, YouTube’s Influencer Marketing Platform, Says It Can Measure Organic Views Like They’re Ads",https://tubefilter.us1.list-manage.com/track/click?u=f2851f4d2ca0bc9451d398851&id=c9536ed852&e=45729ae7ce
MrBeast Has Given Away $1 Million On His Ascent To Digital Stardom: “YouTube Pays Better Than You Think”,https://tubefilter.us1.list-manage.com/track/click?u=f2851f4d2ca0bc9451d398851&id=1b71a368c2&e=45729ae7ce
YouTube Science Star Mark Rober Apologizes After Unwittingly Including Fake Footage In Viral Glitter Bomb Video,https://tubefilter.us1.list-manage.com/track/click?u=f2851f4d2ca0bc9451d398851&id=81cc18d883&e=45729ae7ce
YouTube Apologizes For Repurposing Creator’s Video Without Credit In Corporate Tweet,https://www.tubefilter.com/2018/12/27/youtube-apologizes-for-not-crediting-creator/
"Facebook's worst year ever is now over. Here's how its scandals affected the stock: After a year of scandals, Facebook's stock ended the year lower than the previous one for the first time since its debut on the public market in 2012 - The stock tanked 25",https://www.cnbc.com/2018/12/31/how-facebooks-stocked-fared-through-privacy-scandals-in-2018.html
Trump may ban U.S. companies from buying Huawei tech: report,https://www.ctvnews.ca/world/trump-may-ban-u-s-companies-from-buying-huawei-tech-report-1.4234103
UK defense minister admits 'grave concerns' over Huawei 5G equipment,https://www.cnbc.com/2018/12/27/uk-defense-minister-admits-grave-concerns-over-huawei-5g-equipment.html
China releases Canadian teacher but others still held in Huawei row,https://www.theguardian.com/world/2018/dec/29/china-releases-canadian-teacher-but-others-still-held-in-huawei-row
An App That Does Your Homework For You Is Now Worth $3 Billion,https://futurism.com/the-byte/homework-app-worth-3-billion
Disney World Fans Demand Justice for Animatronic Robot Robbed of His Hands and Clothes,https://gizmodo.com/disney-world-fans-demand-justice-for-animatronic-robot-1831443090
LinkedIn Co-Founder Apologizes for the Mess He's Made,https://gizmodo.com/linkedin-co-founder-apologizes-for-the-mess-hes-made-1831326598
Big Tech’s net loss: How governments can turn anger into action (Taylor Owen),https://www.theglobeandmail.com/opinion/article-big-techs-net-loss-how-governments-can-turn-anger-into-action/
UK Cops Have Decided Impolite Online Speech Is Worth A Visit From An Officer,https://www.techdirt.com/articles/20181221/14463341281/uk-cops-have-decided-impolite-online-speech-is-worth-visit-officer.shtml
It Is Both Ridiculous And Dangerous To Make Domain Registrars Liable For Content On Domains,https://www.techdirt.com/articles/20181227/17232641303/it-is-both-ridiculous-dangerous-to-make-domain-registrars-liable-content-domains.shtml
"Iranian Government To Ban Instagram, Citing National Security Concerns",https://www.tubefilter.com/2019/01/02/iranian-government-to-ban-instagram/
Oh God What Did They Just Do to Instagram [Updated],https://gizmodo.com/oh-god-what-did-they-just-do-to-instagram-1831339818
Instagram Swipes Back On Horizontal Test After It Deploys To More Users Than Expected,https://www.tubefilter.com/2018/12/27/instagram-horizontal-scrolling-test/
"Instagram Network Doing Things Acquires Three New Accounts, Boosting Follower Base To 33 Million",https://tubefilter.us1.list-manage.com/track/click?u=f2851f4d2ca0bc9451d398851&id=4a4bddad53&e=45729ae7ce
FTC Warns of Sketchy Netflix Phishing Scam Asking for Payment Details,https://gizmodo.com/ftc-warns-of-sketchy-netflix-phishing-scam-asking-for-p-1831372416
Netflix Pulls American TV Episode in Saudi Arabia That Criticizes Khashoggi Murder and Silicon Valley Investment,https://gizmodo.com/netflix-pulls-tv-episode-in-saudi-arabia-criticizing-kh-1831426649
Saudi Arabia Discovers The Streisand Effect; Gets Netflix To Take Down Hasan Minhaj's Show About MBS's Atrocities,https://www.techdirt.com/articles/20190102/09280641317/saudi-arabia-discovers-streisand-effect-gets-netflix-to-take-down-hasan-minhajs-show-about-mbss-atrocities.shtml
Black Mirror creators broke Netflix's script writing tool with Bandersnatch ,http://www.gamasutra.com/view/news/333602/Black_Mirror_creators_broke_Netflixs_script_writing_tool_with_Bandersnatch.php
Netflix’s Choose-Your-Own-Adventure Film ‘Black Mirror: Bandersnatch’ Has More Than 1 Trillion Potential Story Arrangements,https://www.tubefilter.com/2018/12/28/netflix-choose-your-own-adventure-black-mirror-bandersnatch-endings/
Netflix’s Bandersnatch Teases The Future Of Entertainment,https://futurism.com/the-byte/bandersnatch-interactive-black-mirror
The Hidden Beauty of Black Mirror: Bandersnatch's Best Ending,https://io9.gizmodo.com/the-hidden-beauty-of-black-mirror-bandersnatchs-best-e-1831369911
That New Black Mirror Interactive Film From Netflix Doesn't Work on Apple TV,https://gizmodo.com/that-new-black-mirror-interactive-film-from-netflix-doe-1831366990
Netflix is curbing a $256 million revenue stream for Apple by circumventing iTunes billing,https://www.businessinsider.com/netflix-stops-itunes-billing-cuts-256-million-apple-revenue-stream-2019-1
Netflix delivers a blow to Apple’s services story by ending in-app subscriptions,https://arstechnica.com/gadgets/2019/01/netflix-delivers-a-blow-to-apples-services-story-by-ending-in-app-subscriptions/
"Apple Reveals It Underestimated Challenges in China, Revises Guidance for Holiday Quarter",https://variety.com/2019/digital/news/apple-china-warning-1203097950/
The Silver Lining In Apple’s Very Bad iPhone News,https://www.wired.com/story/silver-lining-apples-very-bad-iphone-news/
Apple's Stock Decline Is Bringing Out All of the Opinions,https://gizmodo.com/apples-stock-decline-is-bringing-out-all-of-the-opinion-1831458742
Judge Approves $20.4 Million Attorneys’ Fee Award in Continuing Dish Network Saga ,https://www.lexology.com/library/detail.aspx?g=041ed224-87b2-4c64-b6f7-18128ba9db2f
Millions Upon Millions Of 'Takedown' Notices To Google... For Links That Aren't Even In Google,https://www.techdirt.com/articles/20181227/10311341298/millions-upon-millions-takedown-notices-to-google-links-that-arent-even-google.shtml
Google is Reportedly Rolling Out a Feature to Fight Spam in Your Texts,https://gizmodo.com/google-is-reportedly-rolling-out-a-feature-to-fight-spa-1831368624
Microsoft closes out 2018 as the top public company,https://www.cnbc.com/2018/12/31/microsoft-finishes-2018-as-the-top-public-company.html
Why Copyright Will Be The Biggest Issue For Youtube In 2019,https://www.forbes.com/sites/masonsands/2018/12/30/why-copyright-will-be-the-biggest-issue-for-youtube-in-2019/
"How Much of the Internet Is Fake? Turns Out, a Lot of It, Actually.",http://nymag.com/intelligencer/2018/12/how-much-of-the-internet-is-fake.html
There’s Something Sinister Afoot In Macaulay Culkin’s Yule Log Video,https://www.tubefilter.com/2018/12/25/macaulay-culkin-youtube-yule-log-hawkins-family/
The Unlikely Origins of the First Quantum Computer,https://gizmodo.com/the-unlikely-origins-of-the-first-quantum-computer-1831054476
The hype around driverless cars came crashing down in 2018,https://arstechnica.com/cars/2018/12/uber-tesla-and-waymo-all-struggled-with-self-driving-in-2018/
How Chip Makers Are Circumventing Moore's Law to Build Super-Fast CPUs of Tomorrow,https://gizmodo.com/how-chip-makers-are-circumventing-moores-law-to-build-s-1831268322
The Ongoing Saga of the Florida Bar’s Angst About Competitive Keyword Advertising (Eric Goldman),https://blog.ericgoldman.org/archives/2018/12/the-ongoing-saga-of-the-florida-bars-angst-about-competitive-keyword-advertising.htm
