"Microsoft reports ""largest gaming revenue quarter ever"": Software and services drove Xbox to $4.23 billion revenue despite declining hardware sales",,https://www.gamesindustry.biz/articles/2019-01-31-microsoft-reports-largest-gaming-revenue-quarter-ever
"Microsoft’s Xbox Live is coming to Switch, iOS, Android",,https://arstechnica.com/gaming/2019/02/microsofts-xbox-live-is-coming-to-switch-ios-android/
Microsoft Expanding Xbox Live To Nintendo Switch And Mobile,,https://ca.ign.com/articles/2019/02/04/microsoft-expanding-xbox-live-to-nintendo-switch-and-mobile
Microsoft bringing Xbox Live to Switch and mobile: GDC session report reveals company's cross-platform plans,,https://www.gamesindustry.biz/articles/2019-02-04-microsoft-bringing-xbox-live-to-switch-and-mobile
Microsoft Studios renamed Xbox Game Studios in bid for better branding ,,http://www.gamasutra.com/view/news/336009/Microsoft_Studios_renamed_Xbox_Game_Studios_in_bid_for_better_branding.php
Software driving sales in Sony's games division as hardware stutters ,,http://www.gamasutra.com/view/news/335763/Software_driving_sales_in_Sonys_games_division_as_hardware_stutters.php
Sony reports slowdown in PS4 sales: Growth in software offsets expected hardware dip as system begins sixth year on shelves; PS Plus subscribers up 15% to 36.3 million,,https://www.gamesindustry.biz/articles/2019-02-01-sony-reports-slowdown-in-ps4-sales
"Cloud gaming isn't an immediate threat to consoles, says Sony CFO ",,http://www.gamasutra.com/view/news/335778/Cloud_gaming_isnt_an_immediate_threat_to_consoles_says_Sony_CFO.php
What can this Japanese patent tell us about PS5 backward compatibility?,,https://arstechnica.com/gaming/2019/02/does-a-japanese-patent-hint-at-playstations-backward-compatibility-plans/
Nearly Half of the Videogame Industry Wants to Form A Union - Can Game Development Companies Avoid This Boss Fight?,,https://www.lexology.com/library/detail.aspx?g=371b3c38-6324-4aa2-b35a-7cf1880db033
"Failbetter's final push to ensure Sunless Skies flies at launch: One year on from disappointing Early Access sales, the Fallen London studio is gearing up for a confident launch",,https://www.gamesindustry.biz/articles/2019-01-31-failbetters-final-push-to-ensure-sunless-skies-flies-at-launch
Netmarble readying bid for Nexon: South Korean games firm reportedly forming consortium to go up against Kakao and Tencent,,https://www.gamesindustry.biz/articles/2019-01-31-netmarble-readying-bid-for-nexon
Machinima closes down with more than 80 jobs lost: The YouTube gaming network is no more,,https://www.gamesindustry.biz/articles/2019-02-03-machinima-closes-down-with-more-than-80-jobs-lost
"Machinima Ceases All Consumer-Facing Operations, Lays Off Most Of Staff",,https://www.tubefilter.com/2019/02/04/machinima-ceases-operations-lays-off-most-staff/
Konami enjoys a profitable 9 months thanks to strong sports game sales ,,http://www.gamasutra.com/view/news/335712/Konami_enjoys_a_profitable_9_months_thanks_to_strong_sports_game_sales.php
Mobile and esports drive Konami revenues to $1.75 billion: Nine-month financials show steady growth in games for Pro Evolution Soccer publisher,,https://www.gamesindustry.biz/articles/2019-02-04-mobile-and-esports-drive-konami-revenues-to-usd1-75-billion
McLaren's drive to turn gamers into Formula 1 racers: Director of esports Ben Payne discusses the firm's five-year plan for Shadow Project and sourcing new champions,,https://www.gamesindustry.biz/articles/2019-02-05-mclarens-drive-to-turn-gamers-into-formula-one-racers
"Peter Moore quit video games, but the Liverpool FC chief still fears Fortnite ",,http://www.gamasutra.com/view/news/335790/Peter_Moore_quit_video_games_but_the_Liverpool_FC_chief_still_fears_Fortnite.php
"Twitch streamers racked up 9.36 billion hours viewed in 2018: Over one billion of those were dedicated to Fortnite, but battle royale title's viewship is on the decline",,https://www.gamesindustry.biz/articles/2019-02-04-twitch-streamers-racked-up-9-36-billion-hours-viewed-in-2018
This Year’s Overwatch League Pass Lets Twitch Viewers Experience Matches From Players’ Perspectives,,https://www.tubefilter.com/2019/01/31/overwatch-league-season-pass-twitch-command-center-views/
The sloth behind the scenes of 2019's biggest Twitch stream ,,http://www.gamasutra.com/view/news/336004/The_sloth_behind_the_scenes_of_2019s_biggest_Twitch_stream.php
Tyler ‘Ninja’ Blevins Lands Starring Spot In Super Bowl Commercial,,https://www.tubefilter.com/2019/02/01/ninja-super-bowl-commercial/
"The long decline of the ""narrative paramedic"" in games writing",,https://www.gamesindustry.biz/articles/2019-01-31-the-long-decline-of-the-narrative-paramedic-in-games-writing
Apex Legends attracts 1 million unique players in under 8 hours ,,http://www.gamasutra.com/view/news/335940/Apex_Legends_attracts_1_million_unique_players_in_under_8_hours.php
Apex Legends Drew In 2.5 Million Players In 24 Hours: The latest free-to-play battle royale title is off to a strong start.,,https://ca.ign.com/articles/2019/02/06/apex-legends-drew-in-over-1-million-players-in-less-than-8-hours
Titanfall Dev's Battle Royale Apex Legends Officially Revealed,,https://ca.ign.com/articles/2019/02/06/titanfall-devs-battle-royale-apex-legends-officially-revealed
Respawn wanted to let Apex Legends 'speak for itself' ,,http://www.gamasutra.com/view/news/335897/Respawn_wanted_to_let_Apex_Legends_speak_for_itself.php
How Apex Legends Monetization Works: We sat down with the developers of Apex Legends to talk about their monetization systems. Apex Legends is a completely free to play game but will allow you to earn and purchase cosmetic items. ,,https://ca.ign.com/videos/2019/02/04/how-apex-legends-monetization-works
EA didn't pre-announce Apex Legends because it was scared to | Opinion - And it may well have been a really smart decision,,https://www.gamesindustry.biz/articles/2019-02-05-ea-didnt-pre-announce-apex-legends-because-it-was-scared-to
"Apex Legends, Anthem, and EA’s (possible) February disaster",,https://arstechnica.com/gaming/2019/02/today-in-wtf-ea-why-apex-legendss-surprise-launch-makes-a-strange-sense/
EA will lean harder on Anthem and Apex Legends after a 'difficult quarter' ,,http://www.gamasutra.com/view/news/336003/EA_will_lean_harder_on_Anthem_and_Apex_Legends_after_a_difficult_quarter.php
'Fortnite' Had 10 Million Concurrent Players In The Marshmello Concert Event,,https://www.forbes.com/sites/insertcoin/2019/02/03/fortnite-had-10-million-concurrent-players-in-the-marshmello-concert-event/
"More Than 10 Million People Attended Marshmello’s Live Virtual Concert In ‘Fortnite,’ DJ Says",,https://www.tubefilter.com/2019/02/04/fortnite-marshmello-concert-youtube-number-players/
"More than 10 million 'Fortnite' players logged on to watch a 10-minute concert over the weekend, proving there's more to the craze than just playing the game",,https://www.businessinsider.com/10-million-fortnite-players-watched-dj-marshmello-concert-live-2019-2
Full Marshmello Fortnite Concert Event!!: Marshmello and Fortnite teamed up to deliver an amazing in-game concert. Check out the entire event with this video!,,https://ca.ign.com/videos/2019/02/02/full-marshmello-fortnite-concert-event
"Fortnite Is the Future, but Probably Not for the Reasons You Think: Much has been said about Fortnite’s revenue, users, business model, origin and availability. But these narratives are overhyped. What matters is how these achievements, when added to the ",,https://redef.com/original/fortnite-is-the-future-but-probably-not-for-the-reasons-you-think
Newly Discovered Spiked Dinosaurs From South America Look Like Creatures From 'No Man's Sky',,https://gizmodo.com/newly-discovered-spiked-dinosaurs-from-south-america-lo-1832359748
"‘Angry Birds VR’ Now Available on Rift & Vive, More VR Platforms Coming Soon",,https://www.roadtovr.com/angry-birds-vr-now-available-rift-vive-vr-platforms-coming-soon/
"26 years later, Groundhog Day gets revived as… a VR game?",,https://arstechnica.com/gaming/2019/02/26-years-later-groundhog-day-gets-revived-as-a-vr-game/
Blog: How AR and VR investment stabilized in Q4 2018,,http://www.gamasutra.com/blogs/ISABELLEHIERHOLTZ/20190131/335575/ARVR_investment_stabilized_in_Q4_2018.php
Rise to Ruins dev wraps up Patreon and donates double pledges back to supporters ,,http://www.gamasutra.com/view/news/335893/Rise_to_Ruins_dev_wraps_up_Patreon_and_donates_double_pledges_back_to_supporters.php
"Rise to Ruins developer promises to repay Patreon pledges back double: SixtyGig Games closes Patreon, offers double refunds on lifetime pledge amounts as studio thrives",,https://www.gamesindustry.biz/articles/2019-02-04-rise-to-ruins-developer-promises-to-repay-patreon-pledges-back-double
Human: Fall Flat sells 5 million units: Solo indie project continues to see sales uptick following console releases,,https://www.gamesindustry.biz/articles/2019-02-04-human-fall-flat-sells-5-million-units
Hypnospace Outlaw weaving a tangled Web: Jay Tholen talks about making a '90s internet simulator that works by modern standards,,https://www.gamesindustry.biz/articles/2019-02-05-hypnospace-outlaw-weaving-a-tangled-web
Insurgency developer New World Interactive opens Canadian studio: New World North follows sustained growth,,https://www.gamesindustry.biz/articles/2019-02-06-insurgency-developer-new-world-interactive-opens-canadian-studio
DIGITAL,,0
The Atlantic’s Taylor Lorenz: Facebook is irrelevant to Gen-Z,,https://digiday.com/podcast/atlantics-taylor-lorenz-facebook-irrelevant-gen-z/
Sheryl Sandberg: The Teens 'Consented' to Putting Facebook Spyware on Their Phones,,https://gizmodo.com/sheryl-sandberg-the-teens-consented-to-putting-faceboo-1832218843
Facebook Bans Armed Rebel Groups in Myanmar,,https://gizmodo.com/facebook-bans-armed-rebel-groups-in-myanmar-1832355977
Facebook nukes hundreds of “inauthentic” accounts “tied to Iran”,,https://arstechnica.com/tech-policy/2019/01/facebook-nukes-hundreds-of-inauthentic-accounts-tied-to-iran/
Mark Zuckerberg still thinks Facebook has made the world better,,https://arstechnica.com/tech-policy/2019/02/facebooks-legacy-anger-depression-and-fake-news/
The Tortured Case for Deleting Instagram,,https://gizmodo.com/the-tortured-case-for-deleting-instagram-1832266382
"NY AG Finds Use of Bots, Sock-Puppets Illegal ",,https://www.lexology.com/library/detail.aspx?g=b0a043f2-6bb1-4036-ae98-a3a9778d1535
Former FCC Official Attempts To Create An Aereo That The Supreme Court Won't Kill,,https://www.techdirt.com/articles/20190204/10274241525/former-fcc-official-attempts-to-create-aereo-that-supreme-court-wont-kill.shtml
The Great Huawei Disconnect,,https://gizmodo.com/the-great-huawei-disconnect-1832194644
Ambassador McCallum's Controversial Comments on the Huawei Extradition Case Resulted in His Termination. But Was He Right?,,https://www.lexology.com/library/detail.aspx?g=460a0fbd-ed25-48f9-a6ea-a471817178f6
Charges Against Chinese Hackers Are Now Common. Why Don't They Deter Cyberattacks?,,https://www.npr.org/2019/02/05/691403968/charges-against-chinese-hackers-are-now-common-why-dont-they-deter-cyberattacks
LISTEN·4:49,,0
A Bold Proposal for Fighting Censorship: Increase the Collateral Damage,,https://www.cfr.org/blog/bold-proposal-fighting-censorship-increase-collateral-damage
"Firefox taking a hard line against noisy video, banning it from autoplaying",,https://arstechnica.com/gadgets/2019/02/firefox-to-block-noisy-autoplaying-video-in-next-release/
Italy Tells Rest Of EU To Drop Articles 11 And 13 From The Copyright Directive,,https://www.techdirt.com/articles/20190206/10103841542/italy-tells-rest-eu-to-drop-articles-11-13-copyright-directive.shtml
Article 13 Is Back On: Germany Caves To France As EU Pushes Forward On Ruining The Internet,,https://www.techdirt.com/articles/20190204/09090341521/article-13-is-back-germany-caves-to-france-as-eu-pushes-forward-ruining-internet.shtml
"EU Copyright Directive Has Been Made Even More Stupid, And Some Are Still Trying To Make It Even Worse",,https://www.techdirt.com/articles/20190205/09342741530/eu-copyright-directive-has-been-made-even-more-stupid-some-are-still-trying-to-make-it-even-worse.shtml
US Newspapers Now Salivating Over Bringing A Google Snippet Tax Stateside,,https://www.techdirt.com/articles/20190201/00025041506/us-newspapers-now-salivating-over-bringing-google-snippet-tax-stateside.shtml
Authors Guild Attacks Libraries For Lending Digital Books,,https://www.techdirt.com/articles/20190128/17205941481/authors-guild-attacks-libraries-lending-digital-books.shtml
"After Plan S, Here's Plan U: Funders Should Require All Research To Be Posted First As A Preprint",,https://www.techdirt.com/articles/20190130/06480841494/after-plan-s-heres-plan-u-funders-should-require-all-research-to-be-posted-first-as-preprint.shtml
Google releases Chrome extension that alerts users of breached passwords,,https://arstechnica.com/information-technology/2019/02/google-releases-chrome-extension-that-alerts-to-breached-passwords/
"With experimental “Never slow mode,” Chrome tries to stop Web devs making it slow",,https://arstechnica.com/gadgets/2019/02/with-experimental-never-slow-mode-chrome-tries-to-stop-web-devs-making-it-slow/
Google Play apps with >4.3 million downloads stole pics and pushed porn ads,,https://arstechnica.com/information-technology/2019/02/google-play-apps-with-4-3-million-downloads-stole-pics-and-pushed-porn-ads/
"Harassment, Transphobia, and Racism: A Look Inside Blind's Anonymous Chatting Forum for Google Employees",,https://gizmodo.com/harassment-transphobia-and-racism-a-look-inside-blin-1831999239
Amazon’s Next Targets Are Now Clear: Google and Facebook,,https://www.bloomberg.com/opinion/articles/2019-02-05/amazon-web-services-and-ads-will-disrupt-google-and-facebook
Google has quietly dropped ban on personally identifiable web tracking,,https://thenextweb.com/google/2019/02/05/google-has-quietly-dropped-ban-on-personally-identifiable-web-tracking/
"Google+ shuts down April 2, all consumer data will be deleted",,https://arstechnica.com/gadgets/2019/01/google-shuts-down-april-2-all-data-will-be-deleted/
Impact of New Massachusetts Noncompete Law on Emerging Tech Companies,,https://www.lexology.com/library/detail.aspx?g=d74c18b6-4591-4749-9787-42e3679eb711
Lawyer punished for student’s social media use,,https://www.lawtimesnews.com/author/anita-balakrishnan/lawyer-punished-for-students-social-media-use-16821/
"Surprise, the social media agency behind Fyre Festival chronically steals other people’s work",,https://news.avclub.com/surprise-the-social-media-agency-behind-fyre-festival-1832231815
Key Considerations for Social Influencer Agreements,,https://www.lexology.com/library/detail.aspx?g=de196d96-d068-4dd2-8bdb-554e5e003d3d
Social media companies to owe duty of care to users? ,,https://www.lexology.com/library/detail.aspx?g=92f462aa-bc19-42b3-99e0-0a0eabcad5d3
"Inquests, social media and families searching for answers",,https://www.lexology.com/library/detail.aspx?g=028cfdfc-c66c-44c2-9a23-35b7c292d98e
Leaked nudes and talent morality clauses - A lesson for the digital age,,https://www.lexology.com/library/detail.aspx?g=f132d178-4d50-45fd-a150-4cc563c753b7
This Viral Photo of a Homeless Person Freezing on the Street Is Actually From 2013... in Canada,,https://gizmodo.com/this-viral-photo-of-a-homeless-person-freezing-on-the-s-1832232049
Tech Companies Expand to Canada ,,https://www.lexology.com/library/detail.aspx?g=8e40aed2-4317-4b76-886d-79f7b2165052
Shane Dawson Likely Lost Thousands In Ad Revenue After His Latest Video Was Mistakenly Demonetized,,https://www.tubefilter.com/2019/01/31/shane-dawson-conspiracy-series-youtube-demonetized/
"Vice To Cut 10% Of Workforce, Becoming Latest Digital Giant Hit By Layoffs",,https://www.tubefilter.com/2019/02/01/vice-to-cut-10-percent-of-workforce/
The forthcoming WarnerMedia streaming service will be partially supported by ads,,https://techcrunch.com/2019/01/30/the-forthcoming-warnermedia-streaming-service-will-be-partially-supported-by-ads/
Phil DeFranco Is Getting Into Hair Care Business With Launch Of ‘Beautiful Bastard’ Men’s Grooming Brand,,https://www.tubefilter.com/2019/02/01/phil-defranco-launches-mens-grooming-brand/
Ryan ToysReview Vastly Expands Licensing Empire With 40 Global Deals,,https://www.tubefilter.com/2019/01/31/ryan-toysreview-40-licensing-deals/
YouTube is changing how its priciest ad format is bought to work more like TV — and it could start a bidding war among brands,,https://www.businessinsider.com/youtube-is-opening-its-pricey-masthead-ads-up-to-more-advertisers-2019-2
YouTube is trying to prevent angry mobs from abusing “dislike” button,,https://arstechnica.com/gadgets/2019/02/youtube-doesnt-like-dislike-mobs-will-try-to-prevent-dislike-button-abuse/
YouTube Is Brainstorming New Ways To Combat ‘Dislike Mobs’,,https://www.tubefilter.com/2019/02/04/youtube-to-combat-dislike-mobs/
YouTube Nears Major Milestone Amid Emphasis on Subscriptions,,http://fortune.com/2019/02/04/youtube-google-subscriptions-q4-2018/
"YouTube Hits 2 Billion Monthly Users, As Number Of Channels With 1 Million Subscribers Doubled Last Year",,https://www.tubefilter.com/2019/02/05/youtube-2-billion-monthly-users/
YouTuber Austin Jones Pleads Guilty To Persuading Underage Fans To Send Him Graphic Videos,,https://www.tubefilter.com/2019/02/01/youtuber-austin-jones-pleads-guilty-to-persuading-underage-fans-to-send-him-graphic-videos/
YouTube Will Not Terminate Convicted Sex Offender Austin Jones’ Channel,,https://www.tubefilter.com/2019/02/05/youtube-will-not-terminate-convicted-sex-offender-austin-jones-channel/
"YouTube Rolls Out ‘Explore’ Feature To More Users, More Devices, And Promotes Smaller Creators",,https://www.tubefilter.com/2019/02/06/youtube-explore-feature-personal-recommendations/
YouTube Millionaires: NFL Hopeful Donald De La Haye Was Forced To Choose Between YouTube And Football — But Now He Aims For Both,,https://www.tubefilter.com/2019/01/31/youtube-millionaires-deestroying/
‘Simpsons’ Producer David Mirkin Developing Live Action Sci-Fi Series For YouTube Premium,,https://www.tubefilter.com/2019/01/31/simpsons-david-mirkin-series-youtube-premium/
From YouTube To Cannes To A Theater Near You: Joe Penna on ‘Arctic’,,https://www.tubefilter.com/2019/02/01/joe-penna-interview-arctic-mysteryguitarman-youtube-cannes/
YouTube's ContentID System Is Being Repurposed By Blackmailers Due To Its Failings,,https://www.techdirt.com/articles/20190205/10064941534/youtubes-contentid-system-is-being-repurposed-blackmailers-due-to-failings.shtml
Disney+ Will Offer Non-Disney Content At Launch,,https://www.tubefilter.com/2019/02/06/disney-plus-content-marvel-star-wars-series/
Disney’s ESPN+ Streaming Service Nabs 2 Million Subscribers In Less Than A Year,,https://www.tubefilter.com/2019/02/06/espn-plus-2-million-subscribers/
"Hulu Renews AwesomenessTV, Wattpad Thriller ‘Light As A Feather’",,https://www.tubefilter.com/2019/02/06/hulu-renews-awesomenesstv-wattpad-light-as-a-feather/
Criterion Collection To Launch Classic Film Streaming Service In April,,https://www.tubefilter.com/2019/02/01/criterion-collection-channel-subscription-price/
Samsung tries to turn your refrigerator into Tinder: The Refrigerdating app aims to help you find a date based on what's in your fridge.,,https://www.cnet.com/news/samsung-is-trying-to-turn-your-refrigerator-into-tinder/
Samsung cancels partnership with counterfeit Supreme brand,,https://arstechnica.com/gadgets/2019/02/samsung-cancels-partnership-with-counterfeit-supreme-brand/
"World Record Egg Teams With Hulu On Super Bowl Ad, As Stunt’s Founder Is Unmasked",,https://www.tubefilter.com/2019/02/04/world-record-egg-hulu-super-bowl/
"Hulu Will Roll Out ‘Pause-vertising’ This Spring With Still, Silent Ads",,https://www.tubefilter.com/2019/01/31/hulu-pausvertising-ads-when-you-pause/
Vice Media is laying off hundreds in an effort to reduce costs,,https://digiday.com/media/vice-media-laying-off-hundreds-looks-reduce-costs/
Amazon and Walmart hit hard after new e-commerce rules in India restrict sales: The two companies have pulled thousands of products off virtual shelves,,https://www.theverge.com/2019/2/1/18206538/amazon-walmart-flipkart-india-e-commerce-rules-regulation-chaos
Many popular iPhone apps secretly record your screen without asking: And there's no way a user would know,,https://techcrunch.com/2019/02/06/iphone-session-replay-screenshots/
FaceTime bug lets callers hear you before you answer (really) [Updated],,https://arstechnica.com/gadgets/2019/02/facetime-bug-lets-callers-hear-you-before-you-answer-really/
